Parameters: 
target_packing: 	0.1
n_particles: 	150
n_eqil_steps: 	100000
n_sim_steps: 	500000
radius_l: 	0.3
lower_radius_frac: 	0.5
radius_u: 	1.7
speed_l: 	1.0
speed_u: 	2.0
mass_dependent: 	True
poly_disperse: 	dustyboi
density: 	1.0
charge_density: 	0.005
log_mean: 	325.0976857912173
log_sd: 	0.09053671829707784

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
0.48377260119103227,0.4742555410292837,478.4327281562404,1271.1984468032733,409.94737891014006,0.9932502214698075,-0.7013862538653537,1.175395817494154,0.0,0.0,55.0,55.0
0.8146573216321602,2.2647147278927364,895.2222015648107,384.471110817684,990.9578008215833,1.0998982905835288,0.4363252234039854,0.5098524709852149,0.0,0.0,66.0,66.0
0.09312260828276708,0.0033826261688419384,79.07717832455229,26.57752113077124,1009.3035042949546,0.0333626329301406,-0.982387746193928,-0.7351474002103043,0.0,0.0,63.0,63.0
0.6647900855712157,1.2306716920676803,613.954839721543,904.5959831518172,482.1624877734129,-1.3924875688081433,0.1238019099561875,1.4163524044358726,0.0,0.0,66.0,66.0
0.3034077266594368,0.11699532781870227,1174.956543553957,352.79038732491426,386.4125189869033,-1.0202405230471756,-0.6781579905599056,-0.7711154647221845,0.0,0.0,66.0,66.0
0.49419545080238836,0.5055741253256475,751.8006317313557,1262.6866528645967,194.76056097378375,1.3775708495091987,-0.26442326780004854,-0.3956548945212441,0.0,0.0,56.0,56.0
0.4467497207216651,0.3734921500394976,639.082982157939,1010.0860845080375,1108.2350776613887,-1.1305181728020524,-0.10793585466306645,1.0026897251440843,0.0,0.0,56.0,56.0
0.5428991033038875,0.6702641363356998,875.3090653537604,388.15066819300677,593.1025115329486,-1.0971736062585407,0.3535081756478591,-0.1450134975182969,0.0,0.0,48.0,48.0
0.19085569521631063,0.02912084557590501,1132.213181601185,359.19770464934726,459.82919494645347,0.6255396015632686,0.004899036034249721,-0.9388024607361133,0.0,0.0,47.0,47.0
0.40207253515131847,0.27227128061329037,856.5971623972457,542.6495790374,387.45487087256225,-1.4262464930985606,0.05878695631178158,-1.1702283211806939,0.0,0.0,56.0,56.0
0.9006694275036453,3.0604470708420815,853.9305542483147,395.92243766654144,676.6656889728184,-1.2361502869649155,-0.8257623962801998,1.1424330630401236,0.0,0.0,79.0,79.0
0.563498130465095,0.7494903540412273,1224.352020627271,1267.8042717308692,917.6559766780329,-0.9445846724457778,-0.8407108332248607,0.398337666321169,0.0,0.0,74.0,74.0
0.5216134337774628,0.5944768029869614,1264.8525526966669,9.398508176089337,670.5372940482416,0.956024834686325,0.6258654258311265,1.2922860405132013,0.0,0.0,63.0,63.0
0.47278529478084574,0.4426704065806146,1185.6224683365517,967.2660941669446,613.0954242971794,-0.930952829290999,-1.262325838874577,-0.6033673331071949,0.0,0.0,46.0,46.0
0.818492265497088,2.29684849287376,678.7079340843109,995.014918085724,938.963697780719,0.7936101259396957,-0.982579970263836,-0.9483320361920116,0.0,0.0,51.0,51.0
0.092609431863232,0.003327011247339585,100.04579337054194,679.3137395287309,344.2201691156249,0.6352596137599382,-1.2942063212360861,1.2138399263923434,0.0,0.0,62.0,62.0
0.7030397780055119,1.45555393811615,1098.9819184308842,531.7965340773654,343.72368341505836,1.027142408366774,0.7875761305280019,1.3007644785567751,0.0,0.0,63.0,63.0
0.8022318790793397,2.162660545344537,264.2466113924759,358.5233113154152,1252.0654782856511,0.3174762608241055,0.16769890050043001,-1.3584335263663236,0.0,0.0,64.0,64.0
0.12467671903540212,0.008117918823074069,999.2946019286354,85.81379141703005,253.2064187168645,-1.0638391339585254,-1.2193954710744461,-0.5147619344804268,0.0,0.0,75.0,75.0
1.3829578254117254,11.079378968201665,991.5479083236114,1070.0404993500815,1056.808475002032,-1.47231950647553,-0.5653812753676875,-1.0550406663077116,0.0,0.0,78.0,78.0
1.0918539004394123,5.45233082193182,35.24057158712308,843.2411786296225,996.2640482282452,1.3732100633527393,0.8931331921020408,0.9074387787601118,0.0,0.0,59.0,59.0
1.9061175146298581,29.009325104029024,645.1996552685931,1159.459123707023,844.0299437242255,-0.9382574704575705,-0.3050422346788917,0.1937009642422242,0.0,0.0,69.0,69.0
1.7512686914884292,22.49815787908338,824.0006997521539,1192.7138441382217,731.6764158822007,0.9344066040039279,0.10415325349926684,0.8834415598357327,0.0,0.0,52.0,52.0
1.2266871800393908,7.731968729136717,19.18597189964218,868.0012485204,216.68382676187449,1.2120472702814653,-0.9301406306371841,-1.1717338007301514,0.0,0.0,69.0,69.0
1.3195426687919922,9.624073337257268,1121.3268001024926,83.28526236143735,272.1869674058995,-1.4396750401297114,-0.6462945144322562,0.6056478512667536,0.0,0.0,72.0,72.0
1.8617458597074255,27.030233627166968,553.4308084174221,955.1942488073523,26.15284118394583,-0.7501943540388253,-1.4165402375437854,0.28180375431274857,0.0,0.0,53.0,53.0
1.9496692144218488,31.043552317038355,108.56017807325406,1186.433628509314,539.5093507344322,-1.2858025554534942,-1.0084188475843903,-0.758589874496498,0.0,0.0,69.0,69.0
1.6117527415807347,17.538153310048656,667.9215887120753,1212.67382683549,952.4136631643489,-0.3085283990398886,0.2814748097304552,1.277296263640186,0.0,0.0,59.0,59.0
1.5196751594859252,14.700797760940688,210.6319633137177,426.2243581840273,542.6906462890529,0.12244365030285503,-0.9129956435475138,-0.5812607223199301,0.0,0.0,62.0,62.0
